"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 30 11:57:39 GMT 2021","Mon Aug 30 11:57:45 GMT 2021","6094","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V11",""
"passed","Mon Aug 30 11:36:37 GMT 2021","Mon Aug 30 11:36:43 GMT 2021","5844","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V9_6",""
"passed","Mon Aug 30 11:36:49 GMT 2021","Mon Aug 30 11:36:55 GMT 2021","5772","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V12",""
"passed","Mon Aug 30 12:18:32 GMT 2021","Mon Aug 30 12:18:48 GMT 2021","16577","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","restoreTest","PostgreSQL variant: V9_6",""
"broken","Mon Aug 30 11:36:55 GMT 2021","Mon Aug 30 11:46:55 GMT 2021","600437","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","initDbTest","PostgreSQL variant: V9_5",""
"broken","Mon Aug 30 11:26:37 GMT 2021","Mon Aug 30 11:36:37 GMT 2021","600460","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V9_5",""
"passed","Mon Aug 30 12:08:20 GMT 2021","Mon Aug 30 12:08:31 GMT 2021","11264","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","withRestoreTest","PostgreSQL variant: V12",""
"passed","Mon Aug 30 11:26:26 GMT 2021","Mon Aug 30 11:26:37 GMT 2021","10972","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","simpleTest","PostgreSQL variant: V12",""
"passed","Mon Aug 30 11:57:46 GMT 2021","Mon Aug 30 11:57:52 GMT 2021","6112","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V12",""
"broken","Mon Aug 30 11:57:52 GMT 2021","Mon Aug 30 12:07:52 GMT 2021","600379","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","withRestoreTest","PostgreSQL variant: V9_5",""
"passed","Mon Aug 30 12:18:48 GMT 2021","Mon Aug 30 12:19:00 GMT 2021","11380","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","restoreTest","PostgreSQL variant: V11",""
"broken","Mon Aug 30 11:47:33 GMT 2021","Mon Aug 30 11:57:33 GMT 2021","600447","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V9_5",""
"passed","Mon Aug 30 10:43:47 GMT 2021","Mon Aug 30 10:43:48 GMT 2021","54","","ErrorProcessorTest","","ErrorProcessorTest","forcedViaSystemProperty","forcedViaSystemProperty()",""
