"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 30 11:12:38 GMT 2021","Mon Aug 30 11:12:49 GMT 2021","10644","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","initDbTest","PostgreSQL variant: V11",""
"passed","Mon Aug 30 10:40:41 GMT 2021","Mon Aug 30 10:40:41 GMT 2021","4","","ErrorProcessorTest","","ErrorProcessorTest","v11","v11()",""
"broken","Mon Aug 30 10:40:47 GMT 2021","Mon Aug 30 10:50:54 GMT 2021","606540","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleTest","PostgreSQL variant: V9_5",""
"passed","Mon Aug 30 11:54:48 GMT 2021","Mon Aug 30 11:54:54 GMT 2021","6112","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V12",""
"broken","Mon Aug 30 10:51:42 GMT 2021","Mon Aug 30 11:01:45 GMT 2021","603463","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleWithVolumeTest","PostgreSQL variant: V9_5",""
"passed","Mon Aug 30 11:23:00 GMT 2021","Mon Aug 30 11:23:16 GMT 2021","16146","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","simpleTest","PostgreSQL variant: V9_6",""
"passed","Mon Aug 30 11:43:56 GMT 2021","Mon Aug 30 11:44:13 GMT 2021","16124","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","initDbTest","PostgreSQL variant: V9_6",""
"broken","Mon Aug 30 11:33:56 GMT 2021","Mon Aug 30 11:43:56 GMT 2021","600482","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","initDbTest","PostgreSQL variant: V9_5",""
"broken","Mon Aug 30 11:44:35 GMT 2021","Mon Aug 30 11:54:35 GMT 2021","600519","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V9_5",""
"passed","Mon Aug 30 11:12:49 GMT 2021","Mon Aug 30 11:13:00 GMT 2021","10620","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","initDbTest","PostgreSQL variant: V12",""
"broken","Mon Aug 30 11:02:22 GMT 2021","Mon Aug 30 11:12:23 GMT 2021","600522","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","initDbTest","PostgreSQL variant: V9_5",""
"passed","Mon Aug 30 11:01:45 GMT 2021","Mon Aug 30 11:02:01 GMT 2021","15725","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleWithVolumeTest","PostgreSQL variant: V9_6",""
"passed","Mon Aug 30 10:40:41 GMT 2021","Mon Aug 30 10:40:41 GMT 2021","3","","ErrorProcessorTest","","ErrorProcessorTest","v12","v12()",""
"passed","Mon Aug 30 10:40:41 GMT 2021","Mon Aug 30 10:40:41 GMT 2021","56","","ErrorProcessorTest","","ErrorProcessorTest","forcedViaSystemProperty","forcedViaSystemProperty()",""
"passed","Mon Aug 30 12:15:34 GMT 2021","Mon Aug 30 12:15:51 GMT 2021","16554","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","restoreTest","PostgreSQL variant: V9_6",""
"passed","Mon Aug 30 12:15:51 GMT 2021","Mon Aug 30 12:16:07 GMT 2021","16570","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","restoreTest","PostgreSQL variant: V11",""
"passed","Mon Aug 30 11:02:11 GMT 2021","Mon Aug 30 11:02:22 GMT 2021","10663","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleWithVolumeTest","PostgreSQL variant: V12",""
"passed","Mon Aug 30 12:04:54 GMT 2021","Mon Aug 30 12:05:11 GMT 2021","16693","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","withRestoreTest","PostgreSQL variant: V9_6",""
"passed","Mon Aug 30 11:23:16 GMT 2021","Mon Aug 30 11:23:27 GMT 2021","10768","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","simpleTest","PostgreSQL variant: V11",""
"broken","Mon Aug 30 11:13:00 GMT 2021","Mon Aug 30 11:23:00 GMT 2021","600513","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","simpleTest","PostgreSQL variant: V9_5",""
"passed","Mon Aug 30 10:50:54 GMT 2021","Mon Aug 30 10:51:10 GMT 2021","15955","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleTest","PostgreSQL variant: V9_6",""
"passed","Mon Aug 30 11:44:24 GMT 2021","Mon Aug 30 11:44:35 GMT 2021","10903","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","initDbTest","PostgreSQL variant: V12",""
"passed","Mon Aug 30 10:51:26 GMT 2021","Mon Aug 30 10:51:42 GMT 2021","15794","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleTest","PostgreSQL variant: V12",""
"passed","Mon Aug 30 11:54:41 GMT 2021","Mon Aug 30 11:54:48 GMT 2021","6203","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V11",""
"broken","Mon Aug 30 11:54:54 GMT 2021","Mon Aug 30 12:04:54 GMT 2021","600416","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","withRestoreTest","PostgreSQL variant: V9_5",""
"passed","Mon Aug 30 11:23:27 GMT 2021","Mon Aug 30 11:23:38 GMT 2021","10827","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","simpleTest","PostgreSQL variant: V12",""
"passed","Mon Aug 30 11:02:01 GMT 2021","Mon Aug 30 11:02:11 GMT 2021","10621","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleWithVolumeTest","PostgreSQL variant: V11",""
"passed","Mon Aug 30 11:54:35 GMT 2021","Mon Aug 30 11:54:41 GMT 2021","6295","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V9_6",""
"passed","Mon Aug 30 11:33:50 GMT 2021","Mon Aug 30 11:33:56 GMT 2021","5780","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V12",""
