"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Oct 12 08:11:08 GMT 2020","Mon Oct 12 08:11:24 GMT 2020","15727","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleWithVolumeTest","PostgreSQL variant: V9_6",""
"passed","Mon Oct 12 08:06:32 GMT 2020","Mon Oct 12 08:06:38 GMT 2020","5821","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V9_6",""
"passed","Mon Oct 12 08:07:32 GMT 2020","Mon Oct 12 08:07:43 GMT 2020","10821","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","initDbTest","PostgreSQL variant: V12",""
"passed","Mon Oct 12 08:06:15 GMT 2020","Mon Oct 12 08:06:26 GMT 2020","10787","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","simpleTest","PostgreSQL variant: V12",""
"passed","Mon Oct 12 08:10:31 GMT 2020","Mon Oct 12 08:10:42 GMT 2020","10649","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleTest","PostgreSQL variant: V11",""
"passed","Mon Oct 12 08:10:42 GMT 2020","Mon Oct 12 08:10:52 GMT 2020","10570","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleTest","PostgreSQL variant: V12",""
"passed","Mon Oct 12 08:09:20 GMT 2020","Mon Oct 12 08:09:37 GMT 2020","16612","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","restoreTest","PostgreSQL variant: V9_6",""
"passed","Mon Oct 12 08:11:24 GMT 2020","Mon Oct 12 08:11:34 GMT 2020","10600","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleWithVolumeTest","PostgreSQL variant: V11",""
"passed","Mon Oct 12 08:06:26 GMT 2020","Mon Oct 12 08:06:32 GMT 2020","5752","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V9_5",""
"passed","Mon Oct 12 08:08:52 GMT 2020","Mon Oct 12 08:09:03 GMT 2020","11255","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","withRestoreTest","PostgreSQL variant: V12",""
"passed","Mon Oct 12 08:09:03 GMT 2020","Mon Oct 12 08:09:20 GMT 2020","16478","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","restoreTest","PostgreSQL variant: V9_5",""
"passed","Mon Oct 12 08:05:27 GMT 2020","Mon Oct 12 08:05:48 GMT 2020","20899","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","simpleTest","PostgreSQL variant: V9_5",""
