"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jun 23 11:31:47 GMT 2021","Wed Jun 23 11:31:53 GMT 2021","5984","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V11",""
"passed","Wed Jun 23 10:49:56 GMT 2021","Wed Jun 23 10:50:07 GMT 2021","10573","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","initDbTest","PostgreSQL variant: V12",""
"passed","Wed Jun 23 10:18:02 GMT 2021","Wed Jun 23 10:18:02 GMT 2021","1","","ErrorProcessorTest","","ErrorProcessorTest","v12","v12()",""
"passed","Wed Jun 23 10:39:19 GMT 2021","Wed Jun 23 10:39:29 GMT 2021","10620","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleWithVolumeTest","PostgreSQL variant: V12",""
"passed","Wed Jun 23 11:52:39 GMT 2021","Wed Jun 23 11:52:56 GMT 2021","16543","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","restoreTest","PostgreSQL variant: V9_6",""
"passed","Wed Jun 23 11:31:53 GMT 2021","Wed Jun 23 11:31:59 GMT 2021","6149","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V12",""
"broken","Wed Jun 23 10:18:08 GMT 2021","Wed Jun 23 10:28:13 GMT 2021","605394","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleTest","PostgreSQL variant: V9_5",""
"passed","Wed Jun 23 11:42:16 GMT 2021","Wed Jun 23 11:42:27 GMT 2021","11436","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","withRestoreTest","PostgreSQL variant: V11",""
"passed","Wed Jun 23 11:10:45 GMT 2021","Wed Jun 23 11:10:51 GMT 2021","5707","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V9_6",""
"passed","Wed Jun 23 11:10:51 GMT 2021","Wed Jun 23 11:10:57 GMT 2021","5721","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V11",""
"passed","Wed Jun 23 11:10:57 GMT 2021","Wed Jun 23 11:11:02 GMT 2021","5745","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V12",""
"passed","Wed Jun 23 11:31:41 GMT 2021","Wed Jun 23 11:31:47 GMT 2021","6141","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V9_6",""
"passed","Wed Jun 23 10:18:02 GMT 2021","Wed Jun 23 10:18:02 GMT 2021","42","","ErrorProcessorTest","","ErrorProcessorTest","forcedViaSystemProperty","forcedViaSystemProperty()",""
