"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 22 09:33:56 GMT 2021","Sat May 22 09:43:57 GMT 2021","600607","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleTest","PostgreSQL variant: V9_5",""
"passed","Sat May 22 10:05:22 GMT 2021","Sat May 22 10:05:38 GMT 2021","15792","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","initDbTest","PostgreSQL variant: V9_6",""
"passed","Sat May 22 08:51:29 GMT 2021","Sat May 22 08:51:35 GMT 2021","5679","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V12",""
"passed","Sat May 22 09:44:13 GMT 2021","Sat May 22 09:44:29 GMT 2021","15826","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleTest","PostgreSQL variant: V11",""
"broken","Sat May 22 08:51:35 GMT 2021","Sat May 22 09:01:35 GMT 2021","600419","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","initDbTest","PostgreSQL variant: V9_5",""
"broken","Sat May 22 08:30:30 GMT 2021","Sat May 22 08:40:39 GMT 2021","608734","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","simpleTest","PostgreSQL variant: V9_5",""
"passed","Sat May 22 09:55:11 GMT 2021","Sat May 22 09:55:22 GMT 2021","10643","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleWithVolumeTest","PostgreSQL variant: V12",""
"passed","Sat May 22 08:41:06 GMT 2021","Sat May 22 08:41:17 GMT 2021","10819","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","simpleTest","PostgreSQL variant: V12",""
"passed","Sat May 22 10:05:49 GMT 2021","Sat May 22 10:06:00 GMT 2021","10663","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","initDbTest","PostgreSQL variant: V12",""
"passed","Sat May 22 09:22:54 GMT 2021","Sat May 22 09:23:05 GMT 2021","11326","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","withRestoreTest","PostgreSQL variant: V11",""
"passed","Sat May 22 08:40:55 GMT 2021","Sat May 22 08:41:06 GMT 2021","10747","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","simpleTest","PostgreSQL variant: V11",""
"passed","Sat May 22 09:22:38 GMT 2021","Sat May 22 09:22:54 GMT 2021","16414","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","withRestoreTest","PostgreSQL variant: V9_6",""
"passed","Sat May 22 09:55:01 GMT 2021","Sat May 22 09:55:11 GMT 2021","10609","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleWithVolumeTest","PostgreSQL variant: V11",""
"passed","Sat May 22 10:05:38 GMT 2021","Sat May 22 10:05:49 GMT 2021","10665","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","initDbTest","PostgreSQL variant: V11",""
"passed","Sat May 22 09:23:05 GMT 2021","Sat May 22 09:23:17 GMT 2021","11114","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","withRestoreTest","PostgreSQL variant: V12",""
"passed","Sat May 22 08:51:18 GMT 2021","Sat May 22 08:51:23 GMT 2021","5795","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V9_6",""
"broken","Sat May 22 08:41:17 GMT 2021","Sat May 22 08:51:18 GMT 2021","600483","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V9_5",""
"passed","Sat May 22 09:33:45 GMT 2021","Sat May 22 09:33:56 GMT 2021","11188","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","restoreTest","PostgreSQL variant: V12",""
"broken","Sat May 22 09:55:22 GMT 2021","Sat May 22 10:05:22 GMT 2021","600385","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","initDbTest","PostgreSQL variant: V9_5",""
"passed","Sat May 22 09:02:08 GMT 2021","Sat May 22 09:02:18 GMT 2021","10879","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","initDbTest","PostgreSQL variant: V12",""
"passed","Sat May 22 09:12:31 GMT 2021","Sat May 22 09:12:37 GMT 2021","6072","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V12",""
"broken","Sat May 22 09:23:17 GMT 2021","Sat May 22 09:33:17 GMT 2021","600413","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","restoreTest","PostgreSQL variant: V9_5",""
"passed","Sat May 22 09:01:35 GMT 2021","Sat May 22 09:01:51 GMT 2021","16109","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","initDbTest","PostgreSQL variant: V9_6",""
"broken","Sat May 22 09:12:37 GMT 2021","Sat May 22 09:22:38 GMT 2021","600432","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","withRestoreTest","PostgreSQL variant: V9_5",""
"passed","Sat May 22 09:54:45 GMT 2021","Sat May 22 09:55:01 GMT 2021","15676","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleWithVolumeTest","PostgreSQL variant: V9_6",""
"broken","Sat May 22 09:02:18 GMT 2021","Sat May 22 09:12:19 GMT 2021","600442","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V9_5",""
"passed","Sat May 22 09:44:29 GMT 2021","Sat May 22 09:44:45 GMT 2021","15849","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleTest","PostgreSQL variant: V12",""
"passed","Sat May 22 09:12:25 GMT 2021","Sat May 22 09:12:31 GMT 2021","6077","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V11",""
"passed","Sat May 22 09:43:57 GMT 2021","Sat May 22 09:44:13 GMT 2021","15829","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleTest","PostgreSQL variant: V9_6",""
"passed","Sat May 22 09:01:51 GMT 2021","Sat May 22 09:02:08 GMT 2021","16147","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","initDbTest","PostgreSQL variant: V11",""
"passed","Sat May 22 09:33:34 GMT 2021","Sat May 22 09:33:45 GMT 2021","11417","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","restoreTest","PostgreSQL variant: V11",""
"broken","Sat May 22 09:44:45 GMT 2021","Sat May 22 09:54:45 GMT 2021","600461","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleWithVolumeTest","PostgreSQL variant: V9_5",""
"passed","Sat May 22 08:51:23 GMT 2021","Sat May 22 08:51:29 GMT 2021","5746","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V11",""
"passed","Sat May 22 09:33:17 GMT 2021","Sat May 22 09:33:34 GMT 2021","16707","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","restoreTest","PostgreSQL variant: V9_6",""
