"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat May 15 19:22:06 GMT 2021","Sat May 15 19:32:11 GMT 2021","605191","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","simpleTest","PostgreSQL variant: V9_5",""
"passed","Sat May 15 19:42:55 GMT 2021","Sat May 15 19:43:01 GMT 2021","5681","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","nonResultingQueriesTest","PostgreSQL variant: V11",""
"broken","Sat May 15 20:46:30 GMT 2021","Sat May 15 20:56:30 GMT 2021","600368","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","initDbTest","PostgreSQL variant: V9_5",""
"passed","Sat May 15 20:45:53 GMT 2021","Sat May 15 20:46:09 GMT 2021","15642","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleWithVolumeTest","PostgreSQL variant: V9_6",""
"passed","Sat May 15 20:14:03 GMT 2021","Sat May 15 20:14:19 GMT 2021","16295","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","withRestoreTest","PostgreSQL variant: V9_6",""
"broken","Sat May 15 20:14:41 GMT 2021","Sat May 15 20:24:42 GMT 2021","600370","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","restoreTest","PostgreSQL variant: V9_5",""
"passed","Sat May 15 20:14:19 GMT 2021","Sat May 15 20:14:30 GMT 2021","11204","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","withRestoreTest","PostgreSQL variant: V11",""
"passed","Sat May 15 19:53:07 GMT 2021","Sat May 15 19:53:23 GMT 2021","15948","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","initDbTest","PostgreSQL variant: V9_6",""
"broken","Sat May 15 19:53:44 GMT 2021","Sat May 15 20:03:45 GMT 2021","600355","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V9_5",""
"passed","Sat May 15 20:35:42 GMT 2021","Sat May 15 20:35:53 GMT 2021","10543","","com.github.javister.docker.testing.postgresql.JdbcImageTests","","com.github.javister.docker.testing.postgresql.JdbcImageTests","simpleTest","PostgreSQL variant: V12",""
"passed","Sat May 15 20:03:51 GMT 2021","Sat May 15 20:03:57 GMT 2021","5968","","com.github.javister.docker.testing.postgresql.DirectImageTests","","com.github.javister.docker.testing.postgresql.DirectImageTests","backupTest","PostgreSQL variant: V11",""
